SAMPN,RECMODE,RETMODE,CTFIP,BIN,GTYPE,STYPE,ILANG,RESTY,HHSIZ,LTELE,HHLNG,O_HHLNG,INCOM,DOW,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,HTRIPS,HTRIPS_GPS,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,HH_WHT2,GEO_GROUP1,GEO_GROUP2,GEO_GROUP3,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC,HTRIPS_V,HTRIPS_T,HTRIPS_NM,HTRIPS_O,HTRIPS_WP,HTRIPS_NWP,HTRIPS_GPS_V,HTRIPS_GPS_T,HTRIPS_GPS_NM,HTRIPS_GPS_O,HTRIPS_GPS_WP,HTRIPS_GPS_NWP
3674468,1,3,34021,16,2,1,1,1,2,1,1,,6,5,2,0,2,2,0,4,3.16,1,147.05263,WEST WINDSOR TOWNSHIP,,West Windsor township,NJ,08550,3584,34021004304,84.91,12,6,5,2,4,2,2,2,2,0,0,4,0,1.503,1.659,0,0,3.163,0
3674546,2,2,36103,16,2,1,1,1,2,1,1,,5,1,2,0,0,2,0,23,43.85,1,211.72727,NESCONSET,NESCONSET CDP,Smithtown town,NY,11767,1947,36103135402,514.81,3,2,1,2,3,2,6,23,0,0,0,0,23,43.85,0,0,0,0,43.85
3674566,2,1,36071,16,2,1,1,1,4,1,1,,5,3,1,2,2,1,2,8,6.82,1,163.55556,PORT JERVIS,PORT JERVIS CITY,Port Jervis city,NY,12771,2330,36071002200,664.51,5,3,2,4,3,1,1,2,4,2,0,4,4,1.503,3.487,1.825,0,3.163,3.653
3674750,2,1,34031,16,2,1,1,1,5,1,1,,6,1,2,3,2,2,2,28,32.45,1,271.28571,WAYNE,,Wayne township,NJ,07470,2744,34031246003,268.88,7,5,4,4,4,2,1,25,2,1,0,4,24,29.775,1.828,0.845,0,3.007,29.441
3674833,2,1,34017,16,2,1,1,1,5,1,1,,6,1,1,4,2,2,3,23,26.62,1,111.5,JERSEY CITY,JERSEY CITY CITY,Jersey City city,NJ,07302,2763,34017007200,114.81,8,5,4,4,4,1,1,9,0,14,0,7,16,10.103,0,16.516,0,7.299,19.32
3674866,2,2,34025,1,2,1,1,1,4,1,1,,6,5,2,2,2,2,2,14,14.36,1,500.75,ENGLISHTOWN,,Millstone township,NJ,07726,3261,34025812501,1075.89,10,5,4,4,4,2,1,8,6,0,0,2,12,9.041,5.315,0,0,1.659,12.696
3674916,1,1,34017,16,2,1,1,2,1,2,1,,6,3,1,0,1,1,0,4,5.06,1,275.5,JERSEY CITY,JERSEY CITY CITY,Jersey City city,NJ,07302,2788,34017007400,108.62,8,5,4,1,4,1,4,2,0,2,0,2,2,1.784,0,3.279,0,3.279,1.784
3674930,2,2,34017,16,2,1,1,2,4,1,1,,1,5,0,3,0,0,2,12,15.79,1,438.8,HOBOKEN,HOBOKEN CITY,Hoboken city,NJ,07030,2897,34017019000,494.95,8,5,4,4,1,0,5,0,2,10,0,0,12,0,1.828,13.967,0,0,15.795
3674943,2,1,36103,16,2,1,1,1,2,1,1,,5,5,2,1,2,2,0,9,8.86,1,287.44444,PORT JEFFERSON STATION,TERRYVILLE CDP,Brookhaven town,NY,11776,2023,36103158308,309.67,3,2,1,2,3,2,2,6,2,1,0,7,2,4.51,2.901,1.45,0,7.358,1.503
3674976,2,1,34017,16,2,1,1,1,3,1,1,,5,4,1,1,2,2,0,11,18.82,1,300,WEEHAWKEN,,Weehawken township,NJ,07086,2887,34017018000,180.05,8,5,4,3,3,1,2,0,0,11,0,2,9,0,0,18.818,0,3.279,15.539
3675032,2,2,36103,16,2,1,1,1,5,1,1,,4,3,2,2,2,2,2,13,16.06,1,301.57143,HUNTINGTON,HUNTINGTON CDP,Huntington town,NY,11743,1863,36103110200,762.48,3,2,1,4,2,2,1,11,2,0,0,0,13,13.846,2.216,0,0,0,16.061
3675118,2,1,36103,16,2,1,1,1,3,1,1,,6,2,2,1,2,2,1,5,4.9,1,567.5,MILLER PLACE,MILLER PLACE CDP,Brookhaven town,NY,11764,2026,36103158323,52.59,3,2,1,3,4,2,1,5,0,0,0,3,2,4.904,0,0,0,2.637,2.267
3675147,1,1,34017,16,2,1,1,2,2,1,1,,3,3,1,0,2,2,0,8,12.09,1,317.77778,BAYONNE,BAYONNE CITY,Bayonne city,NJ,07002,2819,34017010600,167.99,8,5,4,2,2,1,2,2,2,4,0,4,4,1.503,3.416,7.172,0,4.92,7.172
3675160,2,1,34021,16,2,1,1,1,3,1,1,,8,1,4,1,1,2,0,21,34.67,1,147.05263,PRINCETON JUNCTION,,West Windsor township,NJ,08550,3584,34021004304,120.15,12,6,5,3,4,3,4,21,0,0,0,4,17,34.67,0,0,0,5.723,28.947
3675215,2,1,34017,16,2,1,1,2,2,1,1,,5,1,0,0,2,0,0,8,11.85,1,331.625,JERSEY CITY,JERSEY CITY CITY,Jersey City city,NJ,07302,2787,34017007500,536.76,8,5,4,2,3,0,2,0,6,2,0,0,8,0,8.123,3.726,0,0,11.849
3675292,2,2,36103,16,2,1,1,1,3,1,1,,6,3,3,1,3,3,0,9,6.77,1,178,SMITHTOWN,ST. JAMES CDP,Smithtown town,NY,11787,1934,36103135002,52.34,3,2,1,3,4,3,2,9,0,0,0,9,0,6.766,0,0,0,6.766,0
3675334,2,1,36103,16,2,1,1,1,2,1,1,,7,3,2,0,2,2,0,4,7.14,1,81.16667,HUNTINGTON STATION,HUNTINGTON STATION CDP,Huntington town,NY,11746,1876,36103111401,84.66,3,2,1,2,4,2,2,4,0,0,0,2,2,7.138,0,0,0,3.569,3.569
3675357,1,1,36103,16,2,1,1,1,1,1,1,,5,4,1,1,1,1,0,2,1.66,1,661.33333,SHIRLEY,SHIRLEY CDP,Brookhaven town,NY,11967,2067,36103159407,82.19,3,2,1,1,3,1,4,0,2,0,0,2,0,0,1.659,0,0,1.659,0
3675408,2,2,34025,16,2,1,1,2,1,1,1,,2,4,0,0,0,0,0,0,0,1,325.42857,HOWELL,,Howell township,NJ,07731,3249,34025811301,520.94,10,5,4,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3675478,2,1,36103,16,2,1,1,1,2,1,1,,7,1,2,0,2,2,0,10,10.91,1,207.375,CORAM,CORAM CDP,Brookhaven town,NY,11727,2028,36103158315,86.36,3,2,1,2,4,2,2,10,0,0,0,8,2,10.912,0,0,0,8.729,2.182
3675563,1,1,36103,16,2,1,1,1,4,1,1,,7,2,2,2,2,2,2,21,36.26,1,134.38462,HUNTINGTON STATION,HUNTINGTON STATION CDP,Huntington town,NY,11746,1877,36103111402,310.26,3,2,1,4,4,2,1,20,1,0,0,8,13,34.659,1.597,0,0,13.113,23.144
3675570,2,2,36071,16,2,1,1,1,2,1,97,INDIAN,99,2,2,0,0,2,0,4,3.74,1,164.28571,MIDDLETOWN,MIDDLETOWN CITY,Middletown city,NY,10940,2324,36071001300,203.38,5,3,2,2,9,2,6,4,0,0,0,0,4,3.742,0,0,0,0,3.742
3675687,2,1,34025,16,2,1,1,1,6,1,1,,4,4,2,3,1,3,1,10,8.66,1,290,HOWELL,,Howell township,NJ,07731,3249,34025811401,327.29,10,5,4,4,2,2,3,6,4,0,0,2,8,4.873,3.79,0,0,1.503,7.16
3675696,2,1,34031,16,2,1,1,1,2,1,1,,7,3,2,0,1,2,0,7,11.38,1,273.875,WAYNE,,Wayne township,NJ,07470,2744,34031246103,113.65,7,5,4,2,4,2,4,7,0,0,0,2,5,11.379,0,0,0,3.772,7.607
3675723,1,1,36103,12,2,1,1,2,1,1,1,,1,5,0,0,1,1,0,4,3.9,1,351.66667,DEER PARK,DEER PARK CDP,Babylon town,NY,11729,1906,36103122801,93.64,3,2,1,1,1,0,4,3,0,1,0,2,2,3.167,0,0.732,0,1.465,2.435
3675750,2,1,36103,16,2,1,1,1,4,1,1,,8,3,4,0,3,4,0,9,7.31,1,240.57143,LINDENHURST,LINDENHURST VILLAGE,Babylon town,NY,11757,1920,36103123900,170.76,3,2,1,4,4,3,2,9,0,0,0,6,3,7.315,0,0,0,4.51,2.805
3675777,2,3,36103,16,2,1,1,1,2,1,1,,5,4,3,0,1,2,0,13,15.19,1,257,EAST SETAUKET,SETAUKET-EAST SETAUKET CDP,Brookhaven town,NY,11733,2004,36103158002,52.59,3,2,1,2,3,3,4,13,0,0,0,2,11,15.186,0,0,0,1.503,13.682
3675798,2,1,36085,16,2,1,1,2,1,1,1,,5,2,1,0,1,1,0,2,1.66,1,223.18182,STATEN ISLAND,NEW YORK CITY,Staten Island borough,NY,10306,1601,36085012806,50.02,2,1,1,1,3,1,4,0,2,0,0,2,0,0,1.659,0,0,1.659,0
3675826,1,1,34025,16,2,1,1,1,4,1,1,,4,5,3,2,2,2,2,19,18.35,1,202.11111,HOWELL,,Howell township,NJ,07731,3249,34025811200,482.92,10,5,4,4,2,3,1,16,3,0,0,6,13,15.608,2.741,0,0,4.433,13.916
3675918,2,3,36103,16,2,1,1,1,2,1,1,,3,1,2,0,1,2,0,4,3.49,1,244.125,NORTH BABYLON,NORTH BABYLON CDP,Babylon town,NY,11703,1903,36103122603,51.79,3,2,1,2,2,2,4,4,0,0,0,2,2,3.488,0,0,0,1.503,1.985
3675970,2,2,34031,16,2,1,2,2,3,1,2,,2,5,1,1,1,2,0,2,1.83,1,279.7,LITTLE FALLS,WOODLAND PARK BOROUGH,Woodland Park borough,NJ,07424,2746,34031264102,50.01,7,5,4,3,1,1,4,0,2,0,0,0,2,0,1.828,0,0,0,1.828
3676062,2,1,34025,16,2,1,1,1,5,1,1,,8,1,2,4,2,2,3,24,33.26,1,168,FARMINGDALE,,Howell township,NJ,07727,3249,34025811102,176.67,10,5,4,4,4,2,1,16,8,0,0,2,22,26.12,7.142,0,0,1.659,31.603
3676124,2,1,36103,16,2,1,1,1,3,1,1,,4,2,3,2,1,3,0,13,17.61,1,416.83333,BOHEMIA,BOHEMIA CDP,Islip town,NY,11716,1978,36103146606,166.69,3,2,1,3,2,3,4,12,0,1,0,0,13,16.762,0,0.845,0,0,17.607
3676270,2,1,36103,16,2,1,1,1,1,1,1,,4,3,1,0,1,1,0,5,3.66,1,287.88889,WEST BABYLON,WEST BABYLON CDP,Babylon town,NY,11704,1922,36103124300,51.79,3,2,1,1,2,1,4,5,0,0,0,2,3,3.662,0,0,0,1.465,2.197
